id,poid,time,organ,max,min,avg,IndustryValue,EnvEmerg,NetIndustryValue,PollutantEmission,WasteGas,RealEstateDev,WasteDisposalVol,NumWasteFactories,MajorEnergyConsumption,IndustryValue_Overall,IndustrialEnterprise
2569,PFUnDA,2012,kidney,,,25.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2570,PFUnDA,2012,liver,,,34.3,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2571,PFUnDA,2012,egg,,,58.1,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2572,PFUnDA,2012,muscle,,,25.3,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2573,PFUnDA,2012,gill,,,14.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2574,PFUnDA,2012,egg,,,16.6,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2575,PFUnDA,2012,muscle,,,59.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2576,PFUnDA,2012,gill,,,11.4,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2577,PFUnDA,2012,liver,,,15,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2578,PFUnDA,2012,egg,,,19.7,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2579,PFUnDA,2012,muscle,,,34.3,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2580,PFUnDA,2012,gill,,,7.49,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2581,PFUnDA,2012,kidney,,,25.4,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2582,PFUnDA,2012,liver,,,44,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2583,PFUnDA,2012,muscle,,,44,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2584,PFUnDA,2012,gill,,,53.5,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2585,PFUnDA,2012,egg,,,11.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2586,PFUnDA,2012,muscle,,,42.6,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2587,PFUnDA,2012,gill,,,75.1,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2588,PFUnDA,2012,kidney,,,67.7,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2589,PFUnDA,2012,liver,,,99.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2590,PFUnDA,2012,muscle,,,12.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2591,PFUnDA,2012,gill,,,28.5,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2592,PFUnDA,2012,liver,,,21.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2593,PFUnDA,2012,egg,,,21.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2594,PFUnDA,2012,muscle,,,2.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2595,PFUnDA,2012,head,,,5.58,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2596,PFUnDA,2012,egg,,,17.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2597,PFUnDA,2012,muscle,,,4.8,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2598,PFUnDA,2012,head,,,17.4,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
2599,PFUnDA,2012,egg,,,74,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29413,PFUnDA,2012,,,,4.02,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29414,PFUnDA,2012,,,,7.06,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29415,PFUnDA,2012,Muscle,,,4.8,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29416,PFUnDA,2012,Muscle,,,2.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29417,PFUnDA,2012,whole (soft part),,,0.602,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29418,PFUnDA,2012,whole (soft part),,,20.8,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29419,PFUnDA,2012,Muscle,,,25.3,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29420,PFUnDA,2012,Muscle,,,1.71,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29421,PFUnDA,2012,Muscle,,,6.97,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29422,PFUnDA,2012,Muscle,,,19.2,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29423,PFUnDA,2012,Muscle,,,59.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29424,PFUnDA,2012,Muscle,,,34.3,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29425,PFUnDA,2012,Muscle,,,44,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29426,PFUnDA,2012,Muscle,,,42.6,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29427,PFUnDA,2012,Muscle,,,14.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
29428,PFUnDA,2012,Muscle,,,12.9,7128,77,13577.65,598210.95,99.2,6357,1210.1,47,27762,23942.2,342262
35008,PFUnDA,2015, liver ,,,6.2,7218,27,17500.33,621302.8,83.51,6642,1456.1,61,27209.12,28802.6,441304
35022,PFUnDA,2015, liver ,,,2.9,7218,27,17500.33,621302.8,83.51,6642,1456.1,61,27209.12,28802.6,441304
35036,PFUnDA,2015, liver ,,,0,7218,27,17500.33,621302.8,83.51,6642,1456.1,61,27209.12,28802.6,441304
35050,PFUnDA,2015, liver ,,,0,2202,10,4056.46,313784.76,55.14,4212,832.2,41,11765.91,11677.3,86813
35064,PFUnDA,2015, liver ,,,0.41,2202,10,4056.46,313784.76,55.14,4212,832.2,41,11765.91,11677.3,86813
35078,PFUnDA,2015, liver ,,,1.4,2202,10,4056.46,313784.76,55.14,4212,832.2,41,11765.91,11677.3,86813
35092,PFUnDA,2015, liver ,,,22,2202,10,4056.46,313784.76,55.14,4212,832.2,41,11765.91,11677.3,86813
40658,PFUnDA,2017,muscle,,,4.3,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40659,PFUnDA,2017,muscle,,,6.41,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40660,PFUnDA,2017,muscle,,,7.83,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40661,PFUnDA,2017,muscle,,,9.49,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40662,PFUnDA,2017,muscle,,,1.79,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40663,PFUnDA,2017,muscle,,,3.68,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40664,PFUnDA,2017,muscle,,,2.33,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40665,PFUnDA,2017,muscle,,,0.13,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40666,PFUnDA,2017,muscle,,,0,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40667,PFUnDA,2017,muscle,,,0.56,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40668,PFUnDA,2017,muscle,,,0,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
